Average private Cpu usage,  8.8 , Average private memory usage,  53.35 , Average private disks usage,  67.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.95 , Average private memory usage,  54.55 , Average private disks usage,  68.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.1 , Average private memory usage,  56.7 , Average private disks usage,  70.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.4 , Average private memory usage,  59.25 , Average private disks usage,  71.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.25 , Average private memory usage,  58.75 , Average private disks usage,  70.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.6 , Average private memory usage,  58.95 , Average private disks usage,  71.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.85 , Average private memory usage,  60.05 , Average private disks usage,  74.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.7 , Average private memory usage,  59.5 , Average private disks usage,  72.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.85 , Average private memory usage,  59.9 , Average private disks usage,  74.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.25 , Average private memory usage,  60.15 , Average private disks usage,  76.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.55 , Average private memory usage,  61.25 , Average private disks usage,  79.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.6 , Average private memory usage,  62.6 , Average private disks usage,  80.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.65 , Average private memory usage,  63.5 , Average private disks usage,  82.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.05 , Average private memory usage,  65.85 , Average private disks usage,  84.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.4 , Average private memory usage,  67.8 , Average private disks usage,  85.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.65 , Average private memory usage,  69.65 , Average private disks usage,  87.55 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.55 , Average private memory usage,  68.9 , Average private disks usage,  87.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.75 , Average private memory usage,  69.8 , Average private disks usage,  87.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.95 , Average private memory usage,  72.7 , Average private disks usage,  89.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.05 , Average private memory usage,  73.3 , Average private disks usage,  91.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.85 , Average private memory usage,  72.45 , Average private disks usage,  90.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.95 , Average private memory usage,  72.95 , Average private disks usage,  91.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.9 , Average private memory usage,  71.6 , Average private disks usage,  89.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.65 , Average private memory usage,  68.4 , Average private disks usage,  86.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.0 , Average private memory usage,  68.85 , Average private disks usage,  89.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.3 , Average private memory usage,  69.5 , Average private disks usage,  89.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.05 , Average private memory usage,  68.4 , Average private disks usage,  86.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.3 , Average private memory usage,  70.4 , Average private disks usage,  88.6 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.0 , Average private memory usage,  67.85 , Average private disks usage,  87.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.1 , Average private memory usage,  71.0 , Average private disks usage,  90.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.9 , Average private memory usage,  70.65 , Average private disks usage,  88.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.85 , Average private memory usage,  70.1 , Average private disks usage,  87.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.15 , Average private memory usage,  72.3 , Average private disks usage,  88.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.2 , Average private memory usage,  74.75 , Average private disks usage,  90.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.35 , Average private memory usage,  76.1 , Average private disks usage,  91.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.75 , Average private memory usage,  79.3 , Average private disks usage,  91.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.4 , Average private memory usage,  77.75 , Average private disks usage,  89.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.35 , Average private memory usage,  75.3 , Average private disks usage,  87.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.7 , Average private memory usage,  78.45 , Average private disks usage,  88.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.3 , Average private memory usage,  76.1 , Average private disks usage,  86.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.6 , Average private memory usage,  79.2 , Average private disks usage,  89.55 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.9 , Average private memory usage,  80.55 , Average private disks usage,  91.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.15 , Average private memory usage,  83.0 , Average private disks usage,  92.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.3 , Average private memory usage,  85.55 , Average private disks usage,  92.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.6 , Average private memory usage,  86.0 , Average private disks usage,  92.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.8 , Average private memory usage,  88.35 , Average private disks usage,  93.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.5 , Average private memory usage,  85.2 , Average private disks usage,  93.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.2 , Average private memory usage,  83.05 , Average private disks usage,  92.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.9 , Average private memory usage,  81.7 , Average private disks usage,  90.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.0 , Average private memory usage,  82.9 , Average private disks usage,  91.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.2 , Average private memory usage,  84.3 , Average private disks usage,  94.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.4 , Average private memory usage,  85.15 , Average private disks usage,  95.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.35 , Average private memory usage,  84.25 , Average private disks usage,  94.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.05 , Average private memory usage,  82.05 , Average private disks usage,  93.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.45 , Average private memory usage,  85.25 , Average private disks usage,  94.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.8 , Average private memory usage,  87.65 , Average private disks usage,  95.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.85 , Average private memory usage,  89.4 , Average private disks usage,  98.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  14.2 , Average private memory usage,  91.1 , Average private disks usage,  101.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  14.3 , Average private memory usage,  92.05 , Average private disks usage,  103.55 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  14.35 , Average private memory usage,  93.55 , Average private disks usage,  104.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.95 , Average private memory usage,  93.15 , Average private disks usage,  101.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.65 , Average private memory usage,  90.85 , Average private disks usage,  99.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.4 , Average private memory usage,  90.3 , Average private disks usage,  96.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
